username,repo_name,url,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,85.3k
libgdx,libgdx,https://github.com/libgdx/libgdx,20.5k
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,19.5k
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,18.3k
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,14.7k
aframevr,aframe,https://github.com/aframevr/aframe,14.5k
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,13.7k
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,12.2k
metafizzy,zdog,https://github.com/metafizzy/zdog,9.4k
CesiumGS,cesium,https://github.com/CesiumGS/cesium,9.2k
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8.3k
isl-org,Open3D,https://github.com/isl-org/Open3D,7.4k
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7.2k
blender,blender,https://github.com/blender/blender,6.6k
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,5.6k
openscad,openscad,https://github.com/openscad/openscad,5k
spritejs,spritejs,https://github.com/spritejs/spritejs,5k
google,model-viewer,https://github.com/google/model-viewer,4.7k
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4.7k
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4.7k
