username,repo_name,url,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,209k
neovim,neovim,https://github.com/neovim/neovim,57.7k
tiangolo,fastapi,https://github.com/tiangolo/fastapi,49.5k
strapi,strapi,https://github.com/strapi/strapi,47.8k
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,46.8k
slatedocs,slate,https://github.com/slatedocs/slate,34.5k
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,29.3k
hasura,graphql-engine,https://github.com/hasura/graphql-engine,28k
ccxt,ccxt,https://github.com/ccxt/ccxt,25.7k
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,25.5k
YMFE,yapi,https://github.com/YMFE/yapi,25k
encode,django-rest-framework,https://github.com/encode/django-rest-framework,24.1k
httpie,httpie,https://github.com/httpie/httpie,23.7k
Kong,insomnia,https://github.com/Kong/insomnia,23.4k
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22.5k
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20.9k
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20.3k
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,20k
pubkey,rxdb,https://github.com/pubkey/rxdb,18k
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,17.8k
