username,repo_name,url,stars
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,10.9k
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10.6k
bitwarden,server,https://github.com/bitwarden/server,10.6k
abpframework,abp,https://github.com/abpframework/abp,8.6k
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,7.5k
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6.4k
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5.4k
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5.4k
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2.5k
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2.5k
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2.3k
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2.2k
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2.1k
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2k
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1.5k
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1.2k
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1k
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,632
riganti,dotvvm,https://github.com/riganti/dotvvm,628
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,619
