username,repo_name,url,stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,233k
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,157k
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,151k
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,144k
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,78.4k
kdn251,interviews,https://github.com/kdn251/interviews,58.2k
azl397985856,leetcode,https://github.com/azl397985856/leetcode,49.3k
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,47.7k
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,39k
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,31.6k
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26.8k
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,26.6k
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,26.1k
huihut,interview,https://github.com/huihut/interview,25.8k
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,22.1k
keon,algorithms,https://github.com/keon/algorithms,21.6k
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,20.8k
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,19.9k
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,19.7k
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,16.2k
