username,repo_name,url,stars
flutter,flutter,https://github.com/flutter/flutter,145k
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,95.6k
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,70.4k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,55.9k
google,material-design-icons,https://github.com/google/material-design-icons,46.5k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,43.9k
square,okhttp,https://github.com/square/okhttp,42.8k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,42.8k
android,architecture-samples,https://github.com/android/architecture-samples,41.5k
square,retrofit,https://github.com/square/retrofit,40.5k
dcloudio,uni-app,https://github.com/dcloudio/uni-app,37.1k
fastlane,fastlane,https://github.com/fastlane/fastlane,35.8k
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,35.6k
airbnb,lottie-android,https://github.com/airbnb/lottie-android,33.2k
bumptech,glide,https://github.com/bumptech/glide,33k
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32.9k
laurent22,joplin,https://github.com/laurent22/joplin,32.1k
skylot,jadx,https://github.com/skylot/jadx,31.6k
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,31.4k
xitu,gold-miner,https://github.com/xitu/gold-miner,31.3k
