username,repo_name,url,stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,95.6k
angular,angular,https://github.com/angular/angular,83.9k
storybookjs,storybook,https://github.com/storybookjs/storybook,74k
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,51.7k
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,48k
prettier,prettier,https://github.com/prettier/prettier,43.8k
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,31.3k
angular,angular-cli,https://github.com/angular/angular-cli,25.6k
angular,components,https://github.com/angular/components,23k
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,21.6k
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,19.9k
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,19k
pubkey,rxdb,https://github.com/pubkey/rxdb,18k
handsontable,handsontable,https://github.com/handsontable/handsontable,17k
teambit,bit,https://github.com/teambit/bit,15.8k
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,15k
nrwl,nx,https://github.com/nrwl/nx,14.6k
linnovate,mean,https://github.com/linnovate/mean,12.2k
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,11.9k
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,11.9k
