username,repo_name,url,stars
ansible,ansible,https://github.com/ansible/ansible,54.5k
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,29.4k
trailofbits,algo,https://github.com/trailofbits/algo,26.1k
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22.9k
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,17.2k
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,12.9k
ansible,awx,https://github.com/ansible/awx,11.4k
easzlab,kubeasz,https://github.com/easzlab/kubeasz,8.5k
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,6.2k
khuedoan,homelab,https://github.com/khuedoan/homelab,6.1k
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,5.2k
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,5.2k
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,4.8k
rundeck,rundeck,https://github.com/rundeck/rundeck,4.7k
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4.4k
clong,DetectionLab,https://github.com/clong/DetectionLab,3.8k
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,3.6k
ansible-community,molecule,https://github.com/ansible-community/molecule,3.4k
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3.3k
litmuschaos,litmus,https://github.com/litmuschaos/litmus,3.3k
