username,repo_name,url,stars
arendst,Tasmota,https://github.com/arendst/Tasmota,18.4k
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,13.8k
arduino,Arduino,https://github.com/arduino/Arduino,13.2k
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12.8k
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,11.5k
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,10.4k
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,9.3k
hybridgroup,gobot,https://github.com/hybridgroup/gobot,7.9k
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7.8k
platformio,platformio-core,https://github.com/platformio/platformio-core,6.1k
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5.8k
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5.4k
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3.9k
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3.7k
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3.5k
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3.5k
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,3.3k
olikraus,u8g2,https://github.com/olikraus/u8g2,3.3k
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,3.3k
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,2.9k
