username,repo_name,url,stars
atom,atom,https://github.com/atom/atom,58.5k
themerdev,themer,https://github.com/themerdev/themer,4.9k
miniflux,v2,https://github.com/miniflux/v2,4k
nteract,hydrogen,https://github.com/nteract/hydrogen,3.8k
shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,3.7k
atom,teletype,https://github.com/atom/teletype,2.4k
mmcdole,gofeed,https://github.com/mmcdole/gofeed,2k
mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,1.9k
joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,1.5k
Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,1.5k
kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,1.5k
simplepie,simplepie,https://github.com/simplepie/simplepie,1.5k
ocaml,merlin,https://github.com/ocaml/merlin,1.4k
t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1.4k
MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,1.3k
atom,apm,https://github.com/atom/apm,1.3k
file-icons,atom,https://github.com/file-icons/atom,1.2k
kettanaito,atomic-layout,https://github.com/kettanaito/atomic-layout,1.1k
atom,github,https://github.com/atom/github,1k
fwcd,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,1k
