username,repo_name,url,stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,220k
vinta,awesome-python,https://github.com/vinta/awesome-python,142k
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,103k
avelino,awesome-go,https://github.com/avelino/awesome-go,87.8k
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,77.5k
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,64.4k
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,59.3k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,55.9k
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,53.1k
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,49.5k
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,46.8k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,43.9k
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,43.6k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,42.8k
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,42.7k
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,40.6k
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,40.5k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,40.1k
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,36.9k
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,35.1k
