username,repo_name,url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,29.4k
microsoft,recommenders,https://github.com/microsoft/recommenders,14k
pulumi,pulumi,https://github.com/pulumi/pulumi,13.6k
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13.1k
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,12.1k
mozilla,sops,https://github.com/mozilla/sops,10.7k
caprover,caprover,https://github.com/caprover/caprover,9.2k
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8.7k
google,go-cloud,https://github.com/google/go-cloud,8.6k
infracost,infracost,https://github.com/infracost/infracost,7.9k
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,6.9k
node-formidable,formidable,https://github.com/node-formidable/formidable,6.4k
midwayjs,midway,https://github.com/midwayjs/midway,6k
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5.4k
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,5k
budtmo,docker-android,https://github.com/budtmo/docker-android,4.9k
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,4.7k
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,4.6k
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4.4k
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,3.9k
