username,repo_name,url,stars
babel,babel,https://github.com/babel/babel,41.4k
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24.7k
swc-project,swc,https://github.com/swc-project/swc,23.9k
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,21.5k
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,20.2k
avajs,ava,https://github.com/avajs/ava,20k
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15.1k
grab,front-end-guide,https://github.com/grab/front-end-guide,14.6k
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11.2k
grommet,grommet,https://github.com/grommet/grommet,8k
developit,htm,https://github.com/developit/htm,7.9k
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,6.2k
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6.1k
documentationjs,documentation,https://github.com/documentationjs/documentation,5.6k
insin,nwb,https://github.com/insin/nwb,5.5k
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5.3k
egoist,poi,https://github.com/egoist/poi,5.3k
fkling,astexplorer,https://github.com/fkling/astexplorer,5k
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4.7k
babel,babel-loader,https://github.com/babel/babel-loader,4.7k
