username,repo_name,url,stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,110k
nvm-sh,nvm,https://github.com/nvm-sh/nvm,60.9k
junegunn,fzf,https://github.com/junegunn/fzf,47k
google,zx,https://github.com/google/zx,34.1k
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,31.8k
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,30.5k
koalaman,shellcheck,https://github.com/koalaman/shellcheck,29.9k
starship,starship,https://github.com/starship/starship,28.6k
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,28.3k
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,28.1k
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,24.8k
withfig,autocomplete,https://github.com/withfig/autocomplete,20k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,19.8k
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,16.2k
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,15.7k
rbenv,rbenv,https://github.com/rbenv/rbenv,14.4k
powerline,powerline,https://github.com/powerline/powerline,13.5k
shelljs,shelljs,https://github.com/shelljs/shelljs,13.5k
Bash-it,bash-it,https://github.com/Bash-it/bash-it,13.1k
faressoft,terminalizer,https://github.com/faressoft/terminalizer,12.9k
