username,repo_name,url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,66.1k
ccxt,ccxt,https://github.com/ccxt/ccxt,25.7k
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,19.2k
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17.6k
askmike,gekko,https://github.com/askmike/gekko,9.9k
solana-labs,solana,https://github.com/solana-labs/solana,9.4k
bbfamily,abu,https://github.com/bbfamily/abu,9.3k
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7.1k
dvf,blockchain,https://github.com/dvf/blockchain,7.1k
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,6.3k
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6.2k
spesmilo,electrum,https://github.com/spesmilo/electrum,5.9k
butor,blackbird,https://github.com/butor/blackbird,5.6k
btcsuite,btcd,https://github.com/btcsuite/btcd,4.9k
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4.7k
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4.4k
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4.2k
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,4.1k
bisq-network,bisq,https://github.com/bisq-network/bisq,4.1k
coinpride,CryptoList,https://github.com/coinpride/CryptoList,3.8k
