username,repo_name,url,stars
ccxt,ccxt,https://github.com/ccxt/ccxt,25.7k
discordjs,discord.js,https://github.com/discordjs/discord.js,20.8k
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,19.7k
hubotio,hubot,https://github.com/hubotio/hubot,16.3k
RasaHQ,rasa,https://github.com/RasaHQ/rasa,14.8k
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,14.6k
wechaty,wechaty,https://github.com/wechaty/wechaty,13.4k
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12.5k
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,11.9k
Rapptz,discord.py,https://github.com/Rapptz/discord.py,11.5k
leon-ai,leon,https://github.com/leon-ai/leon,11k
howdyai,botkit,https://github.com/howdyai/botkit,10.8k
botpress,botpress,https://github.com/botpress/botpress,9.8k
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9.2k
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,7.6k
microsoft,ailab,https://github.com/microsoft/ailab,7.1k
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6.9k
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6.9k
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6.5k
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,6.1k
