username,repo_name,url,stars
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,157k
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,77.7k
azl397985856,leetcode,https://github.com/azl397985856/leetcode,49.3k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,40.1k
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,39.1k
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,31.6k
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,27.4k
huihut,interview,https://github.com/huihut/interview,25.8k
microsoft,calculator,https://github.com/microsoft/calculator,25.6k
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,24.9k
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,21.6k
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,20.8k
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,18.7k
ethereum,solidity,https://github.com/ethereum/solidity,18.2k
doocs,leetcode,https://github.com/doocs/leetcode,17.4k
microsoft,vcpkg,https://github.com/microsoft/vcpkg,16.7k
gabime,spdlog,https://github.com/gabime/spdlog,15.5k
catchorg,Catch2,https://github.com/catchorg/Catch2,15.5k
AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,14.7k
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,14.7k
