username,repo_name,url,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,70.4k
neovim,neovim,https://github.com/neovim/neovim,57.7k
git,git,https://github.com/git/git,43.5k
obsproject,obs-studio,https://github.com/obsproject/obs-studio,41.5k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,40.1k
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,32.1k
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,31.7k
vim,vim,https://github.com/vim/vim,28.4k
curl,curl,https://github.com/curl/curl,26.6k
huihut,interview,https://github.com/huihut/interview,25.8k
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24.1k
pbatard,rufus,https://github.com/pbatard/rufus,20.1k
mpv-player,mpv,https://github.com/mpv-player/mpv,20k
ruby,ruby,https://github.com/ruby/ruby,19.5k
ossrs,srs,https://github.com/ossrs/srs,19.1k
google,flatbuffers,https://github.com/google/flatbuffers,18.7k
oracle,graal,https://github.com/oracle/graal,17.5k
radareorg,radare2,https://github.com/radareorg/radare2,16.8k
microsoft,vcpkg,https://github.com/microsoft/vcpkg,16.7k
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,16k
