username,repo_name,url,stars
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,29k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,19.8k
refined-github,refined-github,https://github.com/refined-github/refined-github,18.9k
darkreader,darkreader,https://github.com/darkreader/darkreader,15k
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.4k
unbug,codelf,https://github.com/unbug/codelf,13.1k
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,10k
crimx,ext-saladict,https://github.com/crimx/ext-saladict,9.6k
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9.1k
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,8.9k
dailydotdev,daily,https://github.com/dailydotdev/daily,8.4k
appbaseio,dejavu,https://github.com/appbaseio/dejavu,7.9k
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,7.6k
Kenshin,simpread,https://github.com/Kenshin/simpread,6.3k
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,5.5k
alyssaxuu,omni,https://github.com/alyssaxuu/omni,5.5k
AutomaApp,automa,https://github.com/AutomaApp/automa,5.4k
dessant,buster,https://github.com/dessant/buster,5.2k
manojVivek,medium-unlimited,https://github.com/manojVivek/medium-unlimited,5k
webclipper,web-clipper,https://github.com/webclipper/web-clipper,4.5k
