username,repo_name,url,stars
electron,electron,https://github.com/electron/electron,104k
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,79.9k
microsoft,playwright,https://github.com/microsoft/playwright,42.4k
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,36.8k
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,29k
ovity,octotree,https://github.com/ovity/octotree,22.2k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,19.8k
segmentio,nightmare,https://github.com/segmentio/nightmare,19.3k
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.4k
google,WebFundamentals,https://github.com/google/WebFundamentals,13.5k
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13.2k
casesandberg,react-color,https://github.com/casesandberg/react-color,10.9k
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,10.7k
crimx,ext-saladict,https://github.com/crimx/ext-saladict,9.6k
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9.1k
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,8.7k
chromedp,chromedp,https://github.com/chromedp/chromedp,8.1k
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8.1k
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6.7k
Kenshin,simpread,https://github.com/Kenshin/simpread,6.3k
