username,repo_name,url,stars
metabase,metabase,https://github.com/metabase/metabase,29.7k
logseq,logseq,https://github.com/logseq/logseq,16.6k
penpot,penpot,https://github.com/penpot/penpot,13.3k
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12.6k
LightTable,LightTable,https://github.com/LightTable/LightTable,11.7k
kanaka,mal,https://github.com/kanaka/mal,8.9k
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8.6k
tonsky,datascript,https://github.com/tonsky/datascript,4.9k
reagent-project,reagent,https://github.com/reagent-project/reagent,4.5k
riemann,riemann,https://github.com/riemann/riemann,4.1k
weavejester,compojure,https://github.com/weavejester/compojure,4k
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3.9k
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3.8k
status-im,status-mobile,https://github.com/status-im/status-mobile,3.5k
ring-clojure,ring,https://github.com/ring-clojure/ring,3.5k
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3.3k
viebel,klipse,https://github.com/viebel/klipse,3k
babashka,babashka,https://github.com/babashka/babashka,2.9k
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2.9k
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2.9k
