username,repo_name,url,stars
realm,SwiftLint,https://github.com/realm/SwiftLint,16.5k
facebook,infer,https://github.com/facebook/infer,13.5k
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,10.3k
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,8k
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7.3k
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,7.2k
facebook,pyre-check,https://github.com/facebook/pyre-check,6k
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5.5k
detekt,detekt,https://github.com/detekt/detekt,4.8k
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4.5k
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,4.3k
PyCQA,pylint,https://github.com/PyCQA/pylint,4.2k
pmd,pmd,https://github.com/pmd/pmd,4k
phpro,grumphp,https://github.com/phpro/grumphp,3.8k
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,3.6k
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2.8k
kucherenko,jscpd,https://github.com/kucherenko/jscpd,2.8k
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2.3k
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2k
uber,piranha,https://github.com/uber/piranha,2k
