username,repo_name,url,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,150k
junegunn,fzf,https://github.com/junegunn/fzf,47k
sharkdp,bat,https://github.com/sharkdp/bat,37.1k
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,35.4k
google,zx,https://github.com/google/zx,34.1k
wagoodman,dive,https://github.com/wagoodman/dive,33.7k
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,33.1k
chubin,cheat.sh,https://github.com/chubin/cheat.sh,30.5k
cli,cli,https://github.com/cli/cli,29.9k
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,29.7k
spf13,cobra,https://github.com/spf13/cobra,28.5k
angular,angular-cli,https://github.com/angular/angular-cli,25.6k
n8n-io,n8n,https://github.com/n8n-io/n8n,25.3k
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,24.8k
sharkdp,fd,https://github.com/sharkdp/fd,24.5k
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,24.2k
httpie,httpie,https://github.com/httpie/httpie,23.7k
google,python-fire,https://github.com/google/python-fire,23k
tqdm,tqdm,https://github.com/tqdm/tqdm,22.9k
vercel,pkg,https://github.com/vercel/pkg,21.9k
