username,repo_name,url,stars
vercel,next.js,https://github.com/vercel/next.js,92.7k
rust-lang,rust,https://github.com/rust-lang/rust,71.9k
sveltejs,svelte,https://github.com/sveltejs/svelte,62.1k
webpack,webpack,https://github.com/webpack/webpack,61.8k
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,53.5k
JetBrains,kotlin,https://github.com/JetBrains/kotlin,42.6k
babel,babel,https://github.com/babel/babel,41.4k
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,41.3k
evanw,esbuild,https://github.com/evanw/esbuild,33.2k
vlang,v,https://github.com/vlang/v,30.5k
markedjs,marked,https://github.com/markedjs/marked,28.3k
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,27.4k
swc-project,swc,https://github.com/swc-project/swc,23.9k
vercel,pkg,https://github.com/vercel/pkg,21.9k
v8,v8,https://github.com/v8/v8,20.2k
ziglang,zig,https://github.com/ziglang/zig,17.7k
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,14.5k
nim-lang,Nim,https://github.com/nim-lang/Nim,13.6k
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13.3k
RustPython,RustPython,https://github.com/RustPython/RustPython,12.1k
