username,repo_name,url,stars
localstack,localstack,https://github.com/localstack/localstack,43.5k
harness,drone,https://github.com/harness/drone,25.7k
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,19.5k
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12.5k
theonedev,onedev,https://github.com/theonedev/onedev,9.6k
openshift,origin,https://github.com/openshift/origin,8.2k
gocd,gocd,https://github.com/gocd/gocd,6.6k
concourse,concourse,https://github.com/concourse/concourse,6.5k
buildbot,buildbot,https://github.com/buildbot/buildbot,4.9k
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,4.8k
Strider-CD,strider,https://github.com/Strider-CD/strider,4.6k
jenkins-x,jx,https://github.com/jenkins-x/jx,4.2k
ovh,cds,https://github.com/ovh/cds,4k
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3.8k
hygieia,hygieia,https://github.com/hygieia/hygieia,3.7k
iterative,cml,https://github.com/iterative/cml,3.5k
cake-build,cake,https://github.com/cake-build/cake,3.4k
werf,werf,https://github.com/werf/werf,3.3k
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,3.2k
ligurio,awesome-ci,https://github.com/ligurio/awesome-ci,3k
